manufacturer,model,year,km,transmission,color,price,license_plate,gov_manufacturer,gov_tokef_dt,gov_last_test_dt,gov_baalut,zmig_kidmi,zmig_ahori
טויוטה,קורולה SUN 1.8 סטיישן,2022,49624,אוטומטי,כסף מטלי,105900,86820602,טויוטה אנגליה,2026-03-12,2025-02-27,ליסינג,195/65R15,195/65R15
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2023,95549,אוטומטי,שחור מטלי,105900,34263403,יונדאי קוריאה,2026-06-20,2025-05-28,ליסינג,205/55R16,205/55R16
טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,71436,אוטומטי,לבן,104900,21890503,טויוטה טורקיה,2026-10-18,2025-09-28,ליסינג,205/55R16,205/55R16
טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,80552,אוטומטי,לבן,104900,21890003,טויוטה טורקיה,2026-10-18,2025-09-21,ליסינג,205/55R16,205/55R16
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2023,88935,אוטומטי,לבן,104900,19983303,יונדאי קוריאה,2026-01-21,2024-12-25,ליסינג,205/55R16,205/55R16
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2022,69922,אוטומטי,שחור מטלי,104900,15785003,יונדאי קוריאה,2026-10-23,2025-09-04,ליסינג,205/55R16,205/55R16
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2022,77150,אוטומטי,שחור מטלי,103900,12038003,יונדאי קוריאה,2025-08-02,2024-07-22,ליסינג,205/55R16,205/55R16
מיצובישי,אקליפס קרוס INTENSE 1.5,2022,44913,אוטומטי,שחור,103900,15805503,מיצובישי יפן,2026-10-26,2025-09-28,ליסינג,P225/55R18,P225/55R18
קיה,סלטוס URBAN 2.0,2022,27312,אוטומטי,אפור כהה,103900,17319603,קיה קוריאה,2026-08-09,2025-07-22,ליסינג,215/55R17,215/55R17
טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,79675,אוטומטי,שחור מטלי,102900,87138102,טויוטה טורקיה,2026-03-29,2025-03-06,ליסינג,205/55R16,205/55R16
יונדאי,טוסון PREMIUM 2.0,2022,100517,אוטומטי,לבן,102900,16276903,יונדאי צ'כיה,2026-08-30,2025-07-27,ליסינג,215/65R17,215/65R17
יונדאי,טוסון PREMIUM 2.0,2022,110873,אוטומטי,שחור,102900,11870303,יונדאי צ'כיה,2026-07-13,2025-07-16,ליסינג,215/65R17,215/65R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2023,88701,אוטומטי,לבן,102900,35375003,קיה קוריאה,2026-02-04,2025-02-03,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2023,90264,אוטומטי,לבן,102900,35766303,קיה קוריאה,2026-02-28,2025-02-25,ליסינג,215/55R17,215/55R17
קיה,ספורטאז' URBAN 2.0,2022,106909,אוטומטי,שחור,102900,27191603,קיה סלובקיה,2025-11-12,2024-11-11,ליסינג,215/65R17,215/65R17
קיה,ספורטאז' URBAN 2.0,2022,109510,אוטומטי,אפור כהה,102900,27003803,קיה סלובקיה,2026-10-25,2025-09-01,ליסינג,215/65R17,215/65R17
קיה,ספורטאז' URBAN 2.0,2022,114576,אוטומטי,לבן,102900,27317803,קיה סלובקיה,2026-11-26,2025-11-06,ליסינג,215/65R17,215/65R17
BYD,דולפין - חשמלי,2024,19978,אוטומטי,אפור,101900,82936203,בי ווי די,2026-09-07,2024-09-08,ליסינג,205/50 R17,205/50 R17
טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,94789,אוטומטי,כסף מטלי,101900,22138703,טויוטה טורקיה,2025-11-19,2024-10-30,ליסינג,205/55R16,205/55R16
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2023,100282,אוטומטי,לבן,101900,34215303,יונדאי קוריאה,2026-05-31,2025-04-28,ליסינג,205/55R16,205/55R16
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2022,81827,אוטומטי,אפור מטלי,101900,78657402,יונדאי קוריאה,2026-03-13,2025-03-25,ליסינג,205/55R16,205/55R16
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2022,82040,אוטומטי,כסף כהה,101900,78543602,יונדאי קוריאה,2026-02-14,2025-02-09,ליסינג,205/55R16,205/55R16
יונדאי,טוסון PREMIUM 2.0,2023,111409,אוטומטי,אפור,101900,19328703,יונדאי צ'כיה,2025-12-31,2024-11-27,ליסינג,215/65R17,215/65R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,65944,אוטומטי,כסף,101900,26834903,קיה קוריאה,2026-10-29,2025-09-04,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,67492,אוטומטי,שחור,101900,27056903,קיה קוריאה,2026-11-08,2025-10-29,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,74899,אוטומטי,שחור,101900,26834603,קיה קוריאה,2026-10-24,2025-09-15,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,82109,אוטומטי,כסף,101900,26835303,קיה קוריאה,2025-10-29,2024-09-16,ליסינג,215/55R17,215/55R17
קיה,סלטוס URBAN 2.0,2023,53865,אוטומטי,לבן פנינה,101900,36148903,קיה קוריאה,2026-04-01,2025-03-18,ליסינג,215/55R17,215/55R17
קיה,סלטוס URBAN 2.0,2023,70747,אוטומטי,אפור כהה,101900,35834703,קיה קוריאה,2026-03-05,2025-02-24,ליסינג,215/55R17,215/55R17
קיה,סלטוס URBAN 2.0,2023,74621,אוטומטי,לבן,101900,43623603,קיה קוריאה,2026-03-26,2025-03-11,ליסינג,215/55R17,215/55R17
GEELY,GEOMETRY C 460 חשמלי,2022,44440,אוטומטי,לבן,100900,24165203,גילי סין,2026-09-12,2025-07-30,ליסינג,225/45R18,225/45R18
טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,57802,אוטומטי,שחור מטלי,100900,21744003,טויוטה טורקיה,2026-09-18,2025-08-04,ליסינג,205/55R16,205/55R16
טויוטה,קורולה SUN 1.8 סטיישן,2022,86473,אוטומטי,כסף מטלי,100900,86819502,טויוטה אנגליה,2026-03-08,2025-02-17,ליסינג,195/65R15,195/65R15
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2023,114663,אוטומטי,לבן,100900,24980403,יונדאי קוריאה,2026-04-03,2025-03-17,ליסינג,205/55R16,205/55R16
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,78199,אוטומטי,לבן פנינה,100900,26656103,קיה קוריאה,2026-09-18,2025-08-17,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,84466,אוטומטי,אפור,100900,26655403,קיה קוריאה,2026-09-18,2025-08-21,ליסינג,215/55R17,215/55R17
קיה,סלטוס URBAN 2.0,2023,76134,אוטומטי,אפור בהיר,100900,27339503,קיה קוריאה,2025-12-31,2024-11-25,ליסינג,215/55R17,215/55R17
GEELY,GEOMETRY C 460 חשמלי,2022,33901,אוטומטי,לבן,99900,15660903,גילי סין,2026-06-06,2025-05-25,ליסינג,225/45R18,225/45R18
GEELY,GEOMETRY C 460 חשמלי,2022,39080,אוטומטי,לבן,99900,24165003,גילי סין,2026-08-23,2025-07-10,ליסינג,225/45R18,225/45R18
